PlayerName,CourseName,LayoutName,Päivämäärä,Kaikki,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-18 0939,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-18 0939,57,2.0,3,4,3,3,3,3,3,3,3,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,,,,,,
Sami,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-18 0939,64,9.0,3,3,4,3,5,5,2,3,5,3.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,,,,,,
Par,Puolarmaari,Standard,2023-10-17 0915,60,,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,
Sami,Puolarmaari,Standard,2023-10-17 0915,69,9.0,3,3,2,3,5,4,4,4,4,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,,,,
TradeGnome,Puolarmaari,Standard,2023-10-17 0915,69,9.0,2,3,4,5,6,3,4,3,3,2.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,3.0,2.0,4.0,,,,
Timi,Puolarmaari,Standard,2023-10-17 0915,65,5.0,3,4,3,3,4,4,3,2,3,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,,,,
Esko ,Puolarmaari,Standard,2023-10-17 0915,65,5.0,3,4,5,3,3,5,3,2,3,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-15 1459,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Sami + Tume + Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-15 1459,44,-11.0,2,2,3,3,2,2,2,3,3,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo - Camping,2023-10-15 1427,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Tume + Sami + Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo - Camping,2023-10-15 1427,22,-5.0,2,2,3,3,2,2,2,3,3,,,,,,,,,,,,,,,
Par,Kirkkonummen Frisbeegolfrata,Vols 18 (2023),2023-10-14 0902,59,,3,4,3,3,4,3,3,3,3,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,,,,,,
Mako,Kirkkonummen Frisbeegolfrata,Vols 18 (2023),2023-10-14 0902,67,8.0,3,4,3,3,7,4,2,3,3,3.0,8.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,,,,,,
Tume,Kirkkonummen Frisbeegolfrata,Vols 18 (2023),2023-10-14 0902,88,29.0,3,6,7,4,6,6,4,6,4,5.0,5.0,6.0,4.0,6.0,3.0,4.0,5.0,4.0,,,,,,
Esko ,Kirkkonummen Frisbeegolfrata,Vols 18 (2023),2023-10-14 0902,81,22.0,3,6,6,6,4,4,4,4,2,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,
Par,Puolarmaari,Standard,2023-10-13 0923,60,,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,
Esko ,Puolarmaari,Standard,2023-10-13 0923,59,-1.0,3,3,2,2,4,4,3,2,4,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,
Sami,Puolarmaari,Standard,2023-10-13 0923,73,13.0,4,3,3,4,4,4,4,4,3,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,,,,
Timi,Puolarmaari,Standard,2023-10-13 0923,64,4.0,3,2,3,3,4,3,3,2,4,2.0,3.0,3.0,2.0,3.0,6.0,4.0,3.0,3.0,4.0,4.0,,,,
Par,Oittaan Ulkoilualue - Kalliometsä,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-10-10 1423,58,,3,3,3,3,4,3,3,3,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Esko  + Sami + Tume,Oittaan Ulkoilualue - Kalliometsä,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-10-10 1423,54,-4.0,2,2,3,2,4,3,3,3,3,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,,,,,,
Par,Puolarmaari,Standard,2023-10-10 0826,60,,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,
Esko ,Puolarmaari,Standard,2023-10-10 0826,54,-6.0,2,3,3,2,3,3,3,3,3,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-09 1136,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-09 1136,52,-3.0,3,3,3,3,3,3,3,3,3,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,,,,,,
Kaskinen,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-09 1136,58,3.0,3,3,3,4,3,3,3,3,4,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,,,,,,
Par,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1411,29,,3,3,3,3,4,3,3,4,3,,,,,,,,,,,,,,,
Timi + Esko ,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1411,26,-3.0,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,
Par,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1346,29,,3,3,3,3,4,3,3,4,3,,,,,,,,,,,,,,,
Esko ,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1346,3,0.0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Timi,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1346,3,0.0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Par,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1249,29,,3,3,3,3,4,3,3,4,3,,,,,,,,,,,,,,,
Esko ,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1249,32,3.0,3,5,3,2,4,4,3,4,4,,,,,,,,,,,,,,,
Timi,Röyläntuvan Frisbeegolfkenttä,Main,2023-10-06 1249,37,8.0,4,3,5,3,4,4,4,6,4,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-06 0731,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-06 0731,48,-7.0,3,4,3,2,2,3,2,3,3,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,
Timi,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-06 0731,55,0.0,2,3,3,3,2,4,3,4,3,2.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-10-05 1135,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
